x,y
/datasets_small/graph_images_kk_color/kk1_gi0.png,"{13: [], 17: [(17, 28)], 28: [(17, 28)], 31: [], 35: [(35, 94)], 69: [], 86: [], 94: [(35, 94), (94, 94)]}"
/datasets_small/graph_images_kk_color/kk1_gi1.png,"{0: [(0, 0), (0, 19), (0, 20), (0, 27), (0, 97)], 19: [(0, 19), (19, 20), (19, 28), (19, 35), (19, 43), (19, 53), (19, 57), (19, 75), (19, 89), (19, 97)], 20: [(0, 20), (19, 20), (20, 27), (20, 28), (20, 35), (20, 53), (20, 75), (20, 89)], 27: [(0, 27), (20, 27), (27, 28), (27, 43), (27, 54), (27, 57), (27, 75), (27, 89), (27, 97)], 28: [(19, 28), (20, 28), (27, 28), (28, 35), (28, 43), (28, 57), (28, 89)], 35: [(19, 35), (20, 35), (28, 35), (35, 53), (35, 54), (35, 57), (35, 75), (35, 97)], 43: [(19, 43), (27, 43), (28, 43), (43, 89)], 53: [(19, 53), (20, 53), (35, 53), (53, 53), (53, 54), (53, 57), (53, 89)], 54: [(27, 54), (35, 54), (53, 54), (54, 57), (54, 75), (54, 97)], 57: [(19, 57), (27, 57), (28, 57), (35, 57), (53, 57), (54, 57), (57, 75), (57, 97)], 75: [(19, 75), (20, 75), (27, 75), (35, 75), (54, 75), (57, 75), (75, 75), (75, 89), (75, 97)], 89: [(19, 89), (20, 89), (27, 89), (28, 89), (43, 89), (53, 89), (75, 89), (89, 89), (89, 97)], 97: [(0, 97), (19, 97), (27, 97), (35, 97), (54, 97), (57, 97), (75, 97), (89, 97)]}"
/datasets_small/graph_images_kk_color/kk1_gi2.png,"{4: [], 9: [(9, 16), (9, 42)], 16: [(9, 16), (16, 92)], 27: [], 30: [], 31: [(31, 73)], 35: [(35, 85)], 42: [(9, 42), (42, 85)], 60: [], 62: [(62, 65)], 65: [(62, 65)], 69: [], 73: [(31, 73), (73, 85)], 85: [(35, 85), (42, 85), (73, 85)], 92: [(16, 92)]}"
/datasets_small/graph_images_kk_color/kk1_gi3.png,"{0: [(0, 9)], 1: [(1, 7), (1, 35)], 6: [], 7: [(1, 7)], 9: [(0, 9), (9, 58)], 11: [], 12: [(12, 49)], 21: [(21, 52), (21, 62)], 23: [(23, 52)], 27: [(27, 52)], 30: [(30, 58)], 31: [(31, 51), (31, 59)], 33: [], 35: [(1, 35)], 36: [(36, 62), (36, 70)], 48: [], 49: [(12, 49)], 51: [(31, 51), (51, 56)], 52: [(21, 52), (23, 52), (27, 52), (52, 62)], 54: [], 56: [(51, 56), (56, 58)], 58: [(9, 58), (30, 58), (56, 58)], 59: [(31, 59)], 61: [], 62: [(21, 62), (36, 62), (52, 62)], 69: [], 70: [(36, 70)], 83: [], 84: []}"
/datasets_small/graph_images_kk_color/kk1_gi4.png,"{1: [(1, 64), (1, 97)], 8: [(8, 94)], 9: [(9, 85)], 12: [], 16: [(16, 33), (16, 38)], 20: [], 27: [], 31: [(31, 96)], 33: [(16, 33), (33, 64)], 36: [(36, 36)], 38: [(16, 38), (38, 96)], 40: [], 44: [(44, 68), (44, 94)], 47: [(47, 58)], 56: [(56, 85)], 58: [(47, 58), (58, 85)], 64: [(1, 64), (33, 64)], 68: [(44, 68)], 69: [(69, 96)], 72: [], 79: [], 82: [], 85: [(9, 85), (56, 85), (58, 85)], 94: [(8, 94), (44, 94)], 96: [(31, 96), (38, 96), (69, 96)], 97: [(1, 97)]}"
/datasets_small/graph_images_kk_color/kk1_gi5.png,"{4: [(4, 4), (4, 70), (4, 74)], 47: [(47, 70)], 69: [(69, 69), (69, 70), (69, 74)], 70: [(4, 70), (47, 70), (69, 70), (70, 70), (70, 74)], 74: [(4, 74), (69, 74), (70, 74)]}"
/datasets_small/graph_images_kk_color/kk1_gi6.png,"{42: [(42, 42), (42, 51)], 51: [(42, 51), (51, 51)]}"
/datasets_small/graph_images_kk_color/kk1_gi7.png,"{0: [(0, 39), (0, 83)], 10: [(10, 56), (10, 97)], 11: [(11, 30), (11, 41), (11, 74)], 21: [(21, 77)], 26: [(26, 28), (26, 30), (26, 55), (26, 59), (26, 77), (26, 79)], 27: [(27, 28), (27, 79), (27, 89)], 28: [(26, 28), (27, 28), (28, 30)], 30: [(11, 30), (26, 30), (28, 30), (30, 42), (30, 74), (30, 79), (30, 85), (30, 86), (30, 89)], 36: [(36, 77), (36, 86)], 38: [(38, 42), (38, 60), (38, 89)], 39: [(0, 39), (39, 41), (39, 42), (39, 55), (39, 59), (39, 77), (39, 85), (39, 89)], 41: [(11, 41), (39, 41), (41, 55), (41, 65), (41, 86)], 42: [(30, 42), (38, 42), (39, 42), (42, 56), (42, 86)], 55: [(26, 55), (39, 55), (41, 55)], 56: [(10, 56), (42, 56), (56, 59), (56, 65), (56, 79)], 59: [(26, 59), (39, 59), (56, 59), (59, 60)], 60: [(38, 60), (59, 60), (60, 65), (60, 79), (60, 85)], 65: [(41, 65), (56, 65), (60, 65), (65, 83), (65, 89)], 74: [(11, 74), (30, 74), (74, 97)], 77: [(21, 77), (26, 77), (36, 77), (39, 77), (77, 79), (77, 89)], 79: [(26, 79), (27, 79), (30, 79), (56, 79), (60, 79), (77, 79), (79, 85)], 83: [(0, 83), (65, 83), (83, 85), (83, 97)], 85: [(30, 85), (39, 85), (60, 85), (79, 85), (83, 85)], 86: [(30, 86), (36, 86), (41, 86), (42, 86), (86, 89), (86, 97)], 89: [(27, 89), (30, 89), (38, 89), (39, 89), (65, 89), (77, 89), (86, 89)], 97: [(10, 97), (74, 97), (83, 97), (86, 97)]}"
/datasets_small/graph_images_kk_color/kk1_gi8.png,"{1: [(1, 5), (1, 15), (1, 44), (1, 46), (1, 54), (1, 81), (1, 82)], 5: [(1, 5), (5, 5), (5, 54), (5, 72), (5, 81), (5, 82)], 8: [(8, 43), (8, 44), (8, 55), (8, 58), (8, 62), (8, 64), (8, 84)], 13: [(13, 46), (13, 47), (13, 62), (13, 64), (13, 68), (13, 72), (13, 81)], 15: [(1, 15), (15, 58), (15, 72), (15, 82)], 43: [(8, 43), (43, 46), (43, 53), (43, 68), (43, 82)], 44: [(1, 44), (8, 44), (44, 53), (44, 54), (44, 55), (44, 64), (44, 68), (44, 81)], 46: [(1, 46), (13, 46), (43, 46), (46, 46), (46, 62), (46, 72)], 47: [(13, 47)], 53: [(43, 53), (44, 53), (53, 53), (53, 54), (53, 62), (53, 68), (53, 84)], 54: [(1, 54), (5, 54), (44, 54), (53, 54), (54, 54), (54, 72), (54, 84)], 55: [(8, 55), (44, 55), (55, 72)], 58: [(8, 58), (15, 58), (58, 62), (58, 64)], 62: [(8, 62), (13, 62), (46, 62), (53, 62), (58, 62), (62, 64), (62, 72), (62, 81), (62, 82), (62, 84)], 64: [(8, 64), (13, 64), (44, 64), (58, 64), (62, 64), (64, 64), (64, 68), (64, 82)], 68: [(13, 68), (43, 68), (44, 68), (53, 68), (64, 68), (68, 72), (68, 82), (68, 84)], 72: [(5, 72), (13, 72), (15, 72), (46, 72), (54, 72), (55, 72), (62, 72), (68, 72)], 81: [(1, 81), (5, 81), (13, 81), (44, 81), (62, 81), (81, 82), (81, 84)], 82: [(1, 82), (5, 82), (15, 82), (43, 82), (62, 82), (64, 82), (68, 82), (81, 82)], 84: [(8, 84), (53, 84), (54, 84), (62, 84), (68, 84), (81, 84)]}"
/datasets_small/graph_images_kk_color/kk1_gi9.png,"{2: [(2, 23)], 4: [(4, 14), (4, 42), (4, 55), (4, 82)], 5: [(5, 14), (5, 35), (5, 36), (5, 58), (5, 83)], 11: [(11, 13), (11, 55), (11, 60), (11, 92)], 13: [(11, 13), (13, 20), (13, 56), (13, 66)], 14: [(4, 14), (5, 14), (14, 42), (14, 58), (14, 62), (14, 82), (14, 92), (14, 97)], 20: [(13, 20), (20, 66), (20, 78), (20, 82)], 22: [(22, 32), (22, 62)], 23: [(2, 23), (23, 32), (23, 78)], 32: [(22, 32), (23, 32), (32, 51), (32, 73)], 34: [(34, 82), (34, 92)], 35: [(5, 35), (35, 66)], 36: [(5, 36), (36, 52), (36, 81)], 40: [(40, 42), (40, 52), (40, 86)], 41: [(41, 56), (41, 58)], 42: [(4, 42), (14, 42), (40, 42), (42, 42), (42, 44)], 44: [(42, 44), (44, 56), (44, 81), (44, 83)], 51: [(32, 51), (51, 52), (51, 81)], 52: [(36, 52), (40, 52), (51, 52), (52, 62), (52, 77), (52, 79)], 55: [(4, 55), (11, 55), (55, 66), (55, 92), (55, 97)], 56: [(13, 56), (41, 56), (44, 56), (56, 92)], 58: [(5, 58), (14, 58), (41, 58), (58, 63), (58, 73)], 60: [(11, 60), (60, 79)], 62: [(14, 62), (22, 62), (52, 62), (62, 78), (62, 79)], 63: [(58, 63), (63, 81), (63, 92)], 66: [(13, 66), (20, 66), (35, 66), (55, 66)], 73: [(32, 73), (58, 73)], 74: [(74, 79), (74, 82)], 77: [(52, 77), (77, 97)], 78: [(20, 78), (23, 78), (62, 78), (78, 83)], 79: [(52, 79), (60, 79), (62, 79), (74, 79)], 81: [(36, 81), (44, 81), (51, 81), (63, 81)], 82: [(4, 82), (14, 82), (20, 82), (34, 82), (74, 82)], 83: [(5, 83), (44, 83), (78, 83), (83, 97)], 86: [(40, 86), (86, 92)], 92: [(11, 92), (14, 92), (34, 92), (55, 92), (56, 92), (63, 92), (86, 92)], 97: [(14, 97), (55, 97), (77, 97), (83, 97)]}"
