x,y
/datasets_small/graph_images_sp/sp0_gi0.png,"{18: [(18, 18), (18, 89), (18, 97)], 89: [(18, 89), (89, 89), (89, 97)], 97: [(18, 97), (89, 97), (97, 97)]}"
/datasets_small/graph_images_sp/sp0_gi1.png,"{2: [(2, 15), (2, 43), (2, 94), (2, 99)], 15: [(2, 15), (15, 15), (15, 16), (15, 94), (15, 98)], 16: [(15, 16)], 43: [(2, 43), (43, 94), (43, 99)], 94: [(2, 94), (15, 94), (43, 94), (94, 99)], 98: [(15, 98)], 99: [(2, 99), (43, 99), (94, 99), (99, 99)]}"
/datasets_small/graph_images_sp/sp0_gi2.png,"{0: [(0, 16), (0, 28), (0, 33), (0, 99)], 3: [(3, 3), (3, 44), (3, 57)], 7: [(7, 16), (7, 31)], 12: [(12, 33)], 13: [(13, 16)], 14: [(14, 69), (14, 89), (14, 94)], 16: [(0, 16), (7, 16), (13, 16), (16, 58)], 19: [(19, 58)], 28: [(0, 28), (28, 57), (28, 94)], 31: [(7, 31)], 33: [(0, 33), (12, 33), (33, 65), (33, 89), (33, 94)], 44: [(3, 44), (44, 99)], 50: [], 57: [(3, 57), (28, 57), (57, 78), (57, 83)], 58: [(16, 58), (19, 58)], 64: [(64, 94)], 65: [(33, 65)], 69: [(14, 69)], 74: [(74, 97)], 78: [(57, 78)], 83: [(57, 83)], 89: [(14, 89), (33, 89), (89, 99)], 94: [(14, 94), (28, 94), (33, 94), (64, 94)], 97: [(74, 97)], 99: [(0, 99), (44, 99), (89, 99)]}"
/datasets_small/graph_images_sp/sp0_gi3.png,"{12: [(12, 42), (12, 63)], 14: [], 17: [(17, 88)], 26: [], 30: [(30, 89)], 34: [], 39: [(39, 49)], 41: [(41, 56)], 42: [(12, 42)], 43: [], 45: [], 46: [], 49: [(39, 49)], 56: [(41, 56), (56, 88)], 57: [], 58: [], 59: [], 63: [(12, 63)], 88: [(17, 88), (56, 88)], 89: [(30, 89)]}"
/datasets_small/graph_images_sp/sp0_gi4.png,"{1: [(1, 50), (1, 62), (1, 67), (1, 71)], 6: [(6, 19), (6, 65)], 9: [(9, 67), (9, 71)], 12: [(12, 19), (12, 67), (12, 69)], 13: [(13, 23), (13, 32), (13, 66), (13, 84), (13, 97)], 17: [(17, 58), (17, 64)], 19: [(6, 19), (12, 19), (19, 50), (19, 73), (19, 91)], 23: [(13, 23), (23, 48)], 32: [(13, 32), (32, 61), (32, 66), (32, 67), (32, 96)], 36: [(36, 67)], 39: [(39, 67), (39, 91)], 46: [(46, 61), (46, 95)], 48: [(23, 48), (48, 71)], 50: [(1, 50), (19, 50), (50, 67), (50, 73)], 55: [], 56: [(56, 58), (56, 66), (56, 91)], 58: [(17, 58), (56, 58), (58, 67), (58, 97)], 60: [], 61: [(32, 61), (46, 61), (61, 71)], 62: [(1, 62), (62, 95)], 64: [(17, 64), (64, 65), (64, 84), (64, 96)], 65: [(6, 65), (64, 65), (65, 65)], 66: [(13, 66), (32, 66), (56, 66)], 67: [(1, 67), (9, 67), (12, 67), (32, 67), (36, 67), (39, 67), (50, 67), (58, 67), (67, 96)], 69: [(12, 69)], 71: [(1, 71), (9, 71), (48, 71), (61, 71)], 73: [(19, 73), (50, 73)], 84: [(13, 84), (64, 84), (84, 97)], 91: [(19, 91), (39, 91), (56, 91)], 95: [(46, 95), (62, 95)], 96: [(32, 96), (64, 96), (67, 96)], 97: [(13, 97), (58, 97), (84, 97)]}"
/datasets_small/graph_images_sp/sp0_gi5.png,"{39: [(39, 39), (39, 57)], 57: [(39, 57), (57, 57)]}"
/datasets_small/graph_images_sp/sp0_gi6.png,"{1: [(1, 56), (1, 88)], 2: [(2, 7), (2, 19), (2, 44), (2, 72)], 7: [(2, 7), (7, 44), (7, 75)], 11: [(11, 19), (11, 50), (11, 56)], 19: [(2, 19), (11, 19)], 23: [(23, 43), (23, 72)], 31: [(31, 88)], 40: [(40, 75), (40, 97)], 43: [(23, 43), (43, 50), (43, 58), (43, 72), (43, 75), (43, 76)], 44: [(2, 44), (7, 44), (44, 50)], 50: [(11, 50), (43, 50), (44, 50), (50, 97)], 56: [(1, 56), (11, 56), (56, 75)], 58: [(43, 58)], 69: [(69, 97)], 72: [(2, 72), (23, 72), (43, 72), (72, 80)], 74: [(74, 76)], 75: [(7, 75), (40, 75), (43, 75), (56, 75), (75, 75), (75, 88)], 76: [(43, 76), (74, 76), (76, 89)], 80: [(72, 80)], 82: [(82, 82), (82, 88)], 88: [(1, 88), (31, 88), (75, 88), (82, 88), (88, 88)], 89: [(76, 89)], 97: [(40, 97), (50, 97), (69, 97)]}"
/datasets_small/graph_images_sp/sp0_gi7.png,"{0: [(0, 59)], 2: [], 3: [(3, 30)], 5: [(5, 41)], 6: [], 15: [(15, 32)], 17: [(17, 71)], 21: [], 22: [], 29: [], 30: [(3, 30)], 32: [(15, 32)], 34: [(34, 69)], 36: [(36, 97)], 41: [(5, 41), (41, 53)], 42: [(42, 44)], 44: [(42, 44), (44, 49)], 49: [(44, 49), (49, 98)], 51: [], 52: [], 53: [(41, 53)], 56: [], 58: [], 59: [(0, 59)], 61: [], 69: [(34, 69)], 70: [], 71: [(17, 71)], 83: [], 90: [], 95: [], 97: [(36, 97)], 98: [(49, 98)]}"
/datasets_small/graph_images_sp/sp0_gi8.png,"{4: [(4, 27), (4, 48), (4, 50), (4, 58), (4, 66)], 19: [(19, 48), (19, 50), (19, 64)], 27: [(4, 27), (27, 48), (27, 50), (27, 64)], 48: [(4, 48), (19, 48), (27, 48), (48, 58), (48, 66)], 50: [(4, 50), (19, 50), (27, 50), (50, 50)], 58: [(4, 58), (48, 58), (58, 66)], 64: [(19, 64), (27, 64), (64, 66)], 66: [(4, 66), (48, 66), (58, 66), (64, 66)]}"
/datasets_small/graph_images_sp/sp0_gi9.png,"{0: [(0, 13), (0, 49), (0, 59)], 3: [(3, 35), (3, 54), (3, 77)], 4: [], 6: [(6, 48)], 7: [], 9: [(9, 94)], 13: [(0, 13)], 14: [(14, 19)], 15: [(15, 54), (15, 57)], 19: [(14, 19)], 22: [(22, 55)], 25: [(25, 26), (25, 47), (25, 55), (25, 90), (25, 94)], 26: [(25, 26), (26, 35), (26, 49), (26, 82)], 29: [], 33: [(33, 59), (33, 87)], 35: [(3, 35), (26, 35)], 37: [], 39: [(39, 57)], 40: [(40, 72)], 47: [(25, 47)], 48: [(6, 48)], 49: [(0, 49), (26, 49)], 50: [(50, 77)], 51: [], 53: [], 54: [(3, 54), (15, 54)], 55: [(22, 55), (25, 55)], 57: [(15, 57), (39, 57)], 59: [(0, 59), (33, 59)], 67: [(67, 90)], 72: [(40, 72)], 77: [(3, 77), (50, 77)], 79: [], 82: [(26, 82)], 87: [(33, 87)], 90: [(25, 90), (67, 90)], 92: [], 93: [], 94: [(9, 94), (25, 94)], 97: []}"
